alpha,gt_bin,initial_center_condition,stage,N_proposals,median_width_gt_ratio,median_abs_log_width_gt_ratio,across_alpha_variance_median_width_gt_ratio,across_alpha_range_median_width_gt_ratio,across_alpha_variance_median_abs_log_width_gt_ratio,across_alpha_range_median_abs_log_width_gt_ratio
1.0,0-2s,<= 2s,final_span,23,7.180805262178183,1.9714115302781092,6.345815564860109,6.698737166821957,0.08116518941207151,0.7818540509299883
1.5,0-2s,<= 2s,final_span,23,12.349197641015053,2.51359109262459,6.345815564860109,6.698737166821957,0.08116518941207151,0.7818540509299883
0.5,2-5s,<= 1s,initial,141,12.10312619805336,2.4934637827080848,60.54249928602216,21.05943550169468,0.1378561191020095,1.007957797281688
0.75,2-5s,<= 1s,initial,141,18.15468929708004,2.898928890816249,60.54249928602216,21.05943550169468,0.1378561191020095,1.007957797281688
1.0,2-5s,<= 1s,initial,141,24.20625016093254,3.186610870929313,60.54249928602216,21.05943550169468,0.1378561191020095,1.007957797281688
1.5,2-5s,<= 1s,initial,141,33.16256169974804,3.5014215799897728,60.54249928602216,21.05943550169468,0.1378561191020095,1.007957797281688
0.5,2-5s,<= 1s,decoder_layer1,141,6.203081622719765,1.8250462044921492,3.266796383943376,4.681973442435265,0.04511825717265542,0.5623445489923171
0.75,2-5s,<= 1s,decoder_layer1,141,6.902878403663635,1.9319384845674434,3.266796383943376,4.681973442435265,0.04511825717265542,0.5623445489923171
1.0,2-5s,<= 1s,decoder_layer1,141,7.352977842092514,1.9951053797582343,3.266796383943376,4.681973442435265,0.04511825717265542,0.5623445489923171
1.5,2-5s,<= 1s,decoder_layer1,141,10.88505506515503,2.3873907534844663,3.266796383943376,4.681973442435265,0.04511825717265542,0.5623445489923171
0.5,2-5s,<= 1s,decoder_layer2,141,3.133229874074459,1.1420643811503055,0.7114666480810801,2.078758624692758,0.043016106730936116,0.5145378129529665
0.75,2-5s,<= 1s,decoder_layer2,141,3.616257312707603,1.2854395994859358,0.7114666480810801,2.078758624692758,0.043016106730936116,0.5145378129529665
1.0,2-5s,<= 1s,decoder_layer2,141,3.089413436750571,1.127981246596049,0.7114666480810801,2.078758624692758,0.043016106730936116,0.5145378129529665
1.5,2-5s,<= 1s,decoder_layer2,141,5.168172061443329,1.6425190595490156,0.7114666480810801,2.078758624692758,0.043016106730936116,0.5145378129529665
0.5,2-5s,<= 1s,final_span,141,1.9537575244903564,0.6735770189082253,0.4920269408116038,1.7136832997202873,0.06085478313068179,0.6259170768120457
0.75,2-5s,<= 1s,final_span,141,2.1131275792916617,0.7672364628462827,0.4920269408116038,1.7136832997202873,0.06085478313068179,0.6259170768120457
1.0,2-5s,<= 1s,final_span,141,2.0944538712501526,0.7698083605039083,0.4920269408116038,1.7136832997202873,0.06085478313068179,0.6259170768120457
1.5,2-5s,<= 1s,final_span,141,3.6674408242106438,1.299494095720271,0.4920269408116038,1.7136832997202873,0.06085478313068179,0.6259170768120457
0.5,2-5s,<= 2s,initial,273,10.73143856227398,2.3731776168335825,53.126263136694334,19.73806183040142,0.1466588200086828,1.0435485793336907
0.75,2-5s,<= 2s,initial,273,16.09715784341097,2.778642724941747,53.126263136694334,19.73806183040142,0.1466588200086828,1.0435485793336907
1.0,2-5s,<= 2s,initial,273,21.46287514269352,3.0663247050548113,53.126263136694334,19.73806183040142,0.1466588200086828,1.0435485793336907
1.5,2-5s,<= 2s,initial,273,30.4695003926754,3.4167261961672732,53.126263136694334,19.73806183040142,0.1466588200086828,1.0435485793336907
0.5,2-5s,<= 2s,decoder_layer1,273,5.920304775238037,1.7783879298744685,3.8474924635969536,5.060136571526527,0.05445742339845415,0.6177277009149962
0.75,2-5s,<= 2s,decoder_layer1,273,6.7772088050842285,1.9135653365225114,3.8474924635969536,5.060136571526527,0.05445742339845415,0.6177277009149962
1.0,2-5s,<= 2s,decoder_layer1,273,6.9120669811964035,1.9332687220214106,3.8474924635969536,5.060136571526527,0.05445742339845415,0.6177277009149962
1.5,2-5s,<= 2s,decoder_layer1,273,10.980441346764565,2.3961156307894647,3.8474924635969536,5.060136571526527,0.05445742339845415,0.6177277009149962
