condition,duration_bin,replicate,random_seed,N_queries,center_hit10_1s_pct,center_hit10_2s_pct,positive_overlap_candidate_top10_pct,oracle10_iou05_pct,oracle10_iou07_pct,r1_iou05_pct,r1_iou07_pct,median_final_center_error_sec,median_final_width_gt_ratio
RANDOM_25,20s+,7,6488280323,357,37.53501400560224,53.78151260504202,99.71988795518207,69.46778711484593,39.77591036414566,34.45378151260504,12.605042016806722,11.5,0.4716981132075472
RANDOM_25,20s+,8,6488280324,357,40.61624649859944,52.94117647058824,99.71988795518207,69.74789915966386,40.61624649859944,34.45378151260504,11.76470588235294,11.5,0.4774774774774775
RANDOM_25,20s+,9,6488280325,357,38.095238095238095,53.78151260504202,99.71988795518207,69.46778711484593,40.33613445378151,33.89355742296919,13.445378151260504,11.0,0.46296296296296297
RANDOM_50,0-2s,0,6488280316,90,31.11111111111111,52.22222222222223,67.77777777777779,6.666666666666667,1.1111111111111112,1.1111111111111112,0.0,37.0,8.5
RANDOM_50,0-2s,1,6488280317,90,34.44444444444444,53.333333333333336,68.88888888888889,8.88888888888889,1.1111111111111112,1.1111111111111112,0.0,29.5,8.0
RANDOM_50,0-2s,2,6488280318,90,31.11111111111111,46.666666666666664,61.111111111111114,5.555555555555555,2.2222222222222223,1.1111111111111112,0.0,31.5,8.0
RANDOM_50,0-2s,3,6488280319,90,34.44444444444444,45.55555555555556,62.22222222222222,5.555555555555555,1.1111111111111112,2.2222222222222223,0.0,34.75,8.5
RANDOM_50,0-2s,4,6488280320,90,31.11111111111111,42.22222222222222,67.77777777777779,4.444444444444445,0.0,0.0,0.0,35.25,8.0
RANDOM_50,0-2s,5,6488280321,90,31.11111111111111,56.666666666666664,72.22222222222221,5.555555555555555,1.1111111111111112,2.2222222222222223,0.0,32.0,7.0
RANDOM_50,0-2s,6,6488280322,90,32.22222222222222,50.0,70.0,5.555555555555555,0.0,2.2222222222222223,0.0,35.0,8.0
RANDOM_50,0-2s,7,6488280323,90,32.22222222222222,45.55555555555556,66.66666666666666,5.555555555555555,0.0,2.2222222222222223,0.0,31.5,8.0
RANDOM_50,0-2s,8,6488280324,90,32.22222222222222,50.0,67.77777777777779,5.555555555555555,2.2222222222222223,2.2222222222222223,0.0,25.75,8.0
RANDOM_50,0-2s,9,6488280325,90,37.77777777777778,50.0,65.55555555555556,6.666666666666667,1.1111111111111112,2.2222222222222223,0.0,35.5,8.0
RANDOM_50,2-5s,0,6488280316,376,53.72340425531915,68.88297872340425,88.03191489361703,28.191489361702125,8.51063829787234,11.170212765957446,3.4574468085106385,9.5,3.0
RANDOM_50,2-5s,1,6488280317,376,53.191489361702125,68.35106382978722,88.56382978723404,25.265957446808514,8.24468085106383,9.308510638297872,2.925531914893617,10.5,3.0
RANDOM_50,2-5s,2,6488280318,376,47.6063829787234,65.1595744680851,84.57446808510637,26.595744680851062,6.914893617021277,10.106382978723403,1.8617021276595744,9.5,3.0
RANDOM_50,2-5s,3,6488280319,376,53.98936170212766,69.41489361702128,88.82978723404256,28.191489361702125,8.51063829787234,11.436170212765957,2.127659574468085,7.75,3.0
RANDOM_50,2-5s,4,6488280320,376,48.67021276595745,67.2872340425532,88.03191489361703,26.329787234042552,9.308510638297872,11.96808510638298,3.723404255319149,8.5,3.0
RANDOM_50,2-5s,5,6488280321,376,51.06382978723404,67.2872340425532,88.03191489361703,26.595744680851062,8.51063829787234,10.638297872340425,4.25531914893617,10.0,3.0
RANDOM_50,2-5s,6,6488280322,376,50.0,66.22340425531915,86.70212765957447,28.45744680851064,11.436170212765957,11.170212765957446,3.1914893617021276,8.25,3.0
RANDOM_50,2-5s,7,6488280323,376,52.92553191489362,70.2127659574468,88.03191489361703,27.127659574468083,8.51063829787234,11.170212765957446,2.393617021276596,8.5,3.0
RANDOM_50,2-5s,8,6488280324,376,51.06382978723404,67.81914893617021,85.90425531914893,28.723404255319153,10.106382978723403,10.904255319148938,4.521276595744681,8.5,3.0
RANDOM_50,2-5s,9,6488280325,376,52.3936170212766,67.02127659574468,86.96808510638297,27.127659574468083,9.574468085106384,12.76595744680851,3.723404255319149,9.25,3.0
RANDOM_50,5-10s,0,6488280316,273,54.94505494505495,71.42857142857143,96.7032967032967,58.24175824175825,21.978021978021978,25.274725274725274,7.6923076923076925,5.0,1.5555555555555556
RANDOM_50,5-10s,1,6488280317,273,52.74725274725275,71.42857142857143,95.6043956043956,55.67765567765568,21.978021978021978,24.175824175824175,10.256410256410255,5.5,1.5714285714285714
RANDOM_50,5-10s,2,6488280318,273,55.311355311355314,71.42857142857143,95.6043956043956,56.41025641025641,22.71062271062271,26.73992673992674,10.622710622710622,5.0,1.5
RANDOM_50,5-10s,3,6488280319,273,57.509157509157504,72.52747252747253,96.33699633699634,56.043956043956044,23.44322344322344,25.274725274725274,9.157509157509157,5.0,1.5714285714285714
RANDOM_50,5-10s,4,6488280320,273,56.776556776556774,72.89377289377289,95.6043956043956,56.41025641025641,23.44322344322344,24.90842490842491,10.989010989010989,6.5,1.4444444444444444
RANDOM_50,5-10s,5,6488280321,273,59.70695970695971,73.26007326007326,95.6043956043956,58.60805860805861,24.54212454212454,26.373626373626376,11.72161172161172,5.0,1.5
RANDOM_50,5-10s,6,6488280322,273,55.311355311355314,72.16117216117216,96.33699633699634,55.311355311355314,25.274725274725274,25.274725274725274,11.355311355311356,6.0,1.5555555555555556
RANDOM_50,5-10s,7,6488280323,273,54.57875457875458,69.96336996336996,96.7032967032967,54.94505494505495,24.54212454212454,24.90842490842491,11.72161172161172,5.5,1.5
RANDOM_50,5-10s,8,6488280324,273,57.14285714285714,69.96336996336996,95.6043956043956,54.94505494505495,26.373626373626376,26.00732600732601,12.087912087912088,5.5,1.5
RANDOM_50,5-10s,9,6488280325,273,56.043956043956044,70.6959706959707,95.6043956043956,54.21245421245421,23.809523809523807,25.274725274725274,9.89010989010989,5.0,1.5
RANDOM_50,10-20s,0,6488280316,251,57.37051792828686,74.10358565737052,98.00796812749005,68.92430278884463,36.254980079681275,31.07569721115538,16.334661354581673,5.0,0.9375
RANDOM_50,10-20s,1,6488280317,251,55.77689243027888,71.71314741035857,98.40637450199203,68.52589641434263,37.05179282868526,31.07569721115538,16.733067729083665,4.5,0.9230769230769231
RANDOM_50,10-20s,2,6488280318,251,57.37051792828686,71.71314741035857,98.00796812749005,70.1195219123506,34.66135458167331,30.278884462151396,15.139442231075698,5.0,0.9166666666666666
RANDOM_50,10-20s,3,6488280319,251,58.16733067729084,74.5019920318725,98.00796812749005,72.11155378486056,35.0597609561753,33.067729083665334,15.53784860557769,5.0,0.9166666666666666
RANDOM_50,10-20s,4,6488280320,251,55.37848605577689,70.91633466135458,98.00796812749005,70.5179282868526,37.45019920318725,33.067729083665334,14.741035856573706,5.0,0.9375
RANDOM_50,10-20s,5,6488280321,251,55.77689243027888,71.31474103585657,97.60956175298804,70.5179282868526,33.46613545816733,32.27091633466135,14.741035856573706,5.0,0.9166666666666666
RANDOM_50,10-20s,6,6488280322,251,52.98804780876494,69.7211155378486,98.00796812749005,73.30677290836654,36.65338645418327,33.067729083665334,15.139442231075698,5.0,0.9166666666666666
RANDOM_50,10-20s,7,6488280323,251,55.77689243027888,71.71314741035857,97.60956175298804,70.1195219123506,33.46613545816733,32.27091633466135,15.936254980079681,4.5,0.9090909090909091
RANDOM_50,10-20s,8,6488280324,251,56.97211155378486,72.50996015936255,97.60956175298804,68.92430278884463,37.45019920318725,31.07569721115538,17.52988047808765,5.0,0.9166666666666666
RANDOM_50,10-20s,9,6488280325,251,55.77689243027888,69.7211155378486,97.60956175298804,70.1195219123506,35.85657370517929,31.47410358565737,18.725099601593627,4.5,0.9166666666666666
RANDOM_50,20s+,0,6488280316,357,37.81512605042017,54.34173669467787,100.0,69.187675070028,39.77591036414566,32.773109243697476,13.165266106442578,11.5,0.45714285714285713
RANDOM_50,20s+,1,6488280317,357,40.61624649859944,54.34173669467787,99.71988795518207,68.90756302521008,40.056022408963585,33.89355742296919,15.126050420168067,11.0,0.45
RANDOM_50,20s+,2,6488280318,357,39.21568627450981,56.022408963585434,99.43977591036415,68.62745098039215,39.21568627450981,33.33333333333333,12.885154061624648,11.0,0.4528301886792453
RANDOM_50,20s+,3,6488280319,357,40.056022408963585,56.30252100840336,99.71988795518207,69.74789915966386,41.73669467787115,35.57422969187675,14.84593837535014,10.5,0.4457831325301205
RANDOM_50,20s+,4,6488280320,357,40.33613445378151,53.221288515406165,99.71988795518207,68.90756302521008,38.095238095238095,35.85434173669468,14.285714285714285,11.0,0.46153846153846156
RANDOM_50,20s+,5,6488280321,357,38.93557422969188,54.621848739495796,99.71988795518207,68.90756302521008,38.655462184873954,33.89355742296919,12.605042016806722,10.5,0.46153846153846156
RANDOM_50,20s+,6,6488280322,357,39.49579831932773,55.46218487394958,100.0,69.187675070028,38.095238095238095,36.41456582633053,14.565826330532214,11.0,0.44144144144144143
RANDOM_50,20s+,7,6488280323,357,36.69467787114846,56.30252100840336,100.0,70.02801120448179,40.056022408963585,36.69467787114846,15.126050420168067,11.0,0.45161290322580644
RANDOM_50,20s+,8,6488280324,357,41.45658263305322,56.022408963585434,99.71988795518207,70.02801120448179,38.37535014005603,33.61344537815126,14.005602240896359,11.0,0.45588235294117646
RANDOM_50,20s+,9,6488280325,357,40.056022408963585,56.86274509803921,99.71988795518207,68.34733893557423,39.21568627450981,34.73389355742297,13.725490196078432,11.5,0.45454545454545453
