qid,vid,duration_sec,audio_duration_sec,gt_duration_sec,duration_bin,condition,replicate,random_seed,gt_token_count,valid_token_count,effective_accessible_tokens,effective_distractor_count,center_hit10_1s,center_hit10_2s,positive_overlap_candidate_top10,oracle10_iou05,oracle10_iou07,r1_iou05,r1_iou07,top1_iou07_success,final_center_error_sec,final_width_gt_ratio
inSvboaSRwA_3,inSvboaSRwA,299.0,299.0,20.0,20s+,HARD_100,0,,46,299,299,253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6
j1AiqT5oHZc_1,j1AiqT5oHZc,183.0,183.0,108.0,20s+,HARD_100,0,,126,183,183,57,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1388888888888889
j1AiqT5oHZc_2,j1AiqT5oHZc,183.0,183.0,129.0,20s+,HARD_100,0,,156,183,183,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.20155038759689922
j1AiqT5oHZc_3,j1AiqT5oHZc,183.0,183.0,5.0,5-10s,HARD_100,0,,9,183,183,174,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.8
jOYvIISk--4_1,jOYvIISk--4,299.0,299.0,13.0,10-20s,HARD_100,0,,42,299,299,257,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.1538461538461537
jOYvIISk--4_2,jOYvIISk--4,299.0,299.0,5.0,5-10s,HARD_100,0,,10,299,299,289,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,131.0,4.4
jf4iyQPJSvk_1,jf4iyQPJSvk,155.0,155.0,109.0,20s+,HARD_100,0,,109,155,155,46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43.5,0.12844036697247707
jf4iyQPJSvk_2,jf4iyQPJSvk,155.0,155.0,90.0,20s+,HARD_100,0,,90,155,155,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.5,0.1
jf4iyQPJSvk_3,jf4iyQPJSvk,155.0,155.0,36.0,20s+,HARD_100,0,,35,155,155,120,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.8055555555555556
jid4t-FzUn0_1,jid4t-FzUn0,163.0,163.0,2.0,2-5s,HARD_100,0,,7,163,163,156,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,3.5
jid4t-FzUn0_2,jid4t-FzUn0,163.0,163.0,18.0,10-20s,HARD_100,0,,42,163,163,121,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1.2222222222222223
jid4t-FzUn0_3,jid4t-FzUn0,163.0,163.0,3.0,2-5s,HARD_100,0,,3,163,163,160,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,110.5,1.3333333333333333
jinJkonlrWc_1,jinJkonlrWc,300.0,300.0,73.0,20s+,HARD_100,0,,182,300,300,118,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.5,0.1643835616438356
jj2RyNDj7no_1,jj2RyNDj7no,300.0,300.0,15.0,10-20s,HARD_100,0,,15,300,300,285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.8
jj2RyNDj7no_2,jj2RyNDj7no,300.0,300.0,54.0,20s+,HARD_100,0,,73,300,300,227,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.5,0.8333333333333334
jjfUaMQaG1A_1,jjfUaMQaG1A,300.0,300.0,5.0,5-10s,HARD_100,0,,5,300,300,295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,2.4
jjfUaMQaG1A_2,jjfUaMQaG1A,300.0,300.0,1.0,0-2s,HARD_100,0,,2,300,300,298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,176.0,9.0
jjfUaMQaG1A_3,jjfUaMQaG1A,300.0,300.0,5.0,5-10s,HARD_100,0,,6,300,300,294,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8
jlwe9jtu5Gw_1,jlwe9jtu5Gw,63.0,63.0,3.0,2-5s,HARD_100,0,,3,63,63,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
jlwe9jtu5Gw_2,jlwe9jtu5Gw,63.0,63.0,2.0,2-5s,HARD_100,0,,3,63,63,60,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5
jlwe9jtu5Gw_3,jlwe9jtu5Gw,63.0,63.0,3.0,2-5s,HARD_100,0,,8,63,63,55,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0
jlwe9jtu5Gw_4,jlwe9jtu5Gw,63.0,63.0,5.0,5-10s,HARD_100,0,,5,63,63,58,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,0.6
k1QxQ4jJaEQ_1,k1QxQ4jJaEQ,299.0,299.0,53.0,20s+,HARD_100,0,,64,299,299,235,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,103.5,0.8113207547169812
k4XyfaWVLEY_1,k4XyfaWVLEY,230.0,230.0,5.0,5-10s,HARD_100,0,,5,230,230,225,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,76.0,2.2
k4XyfaWVLEY_2,k4XyfaWVLEY,230.0,230.0,54.0,20s+,HARD_100,0,,81,230,230,149,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.14814814814814814
kEP-BwMarf8_1,kEP-BwMarf8,234.0,234.0,131.0,20s+,HARD_100,0,,196,234,234,38,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.5,0.183206106870229
kF1KWybdRpM_1,kF1KWybdRpM,107.0,107.0,31.0,20s+,HARD_100,0,,40,107,107,67,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.5,0.5161290322580645
kHIe4CfaccQ_1,kHIe4CfaccQ,112.0,112.0,34.0,20s+,HARD_100,0,,47,112,112,65,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.11764705882352941
kHIe4CfaccQ_2,kHIe4CfaccQ,112.0,112.0,2.0,2-5s,HARD_100,0,,2,112,112,110,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,8.0
