variant,gt_bin,stage,subset,N_proposals,median_abs_log_width_gt_ratio,median_width_gt_ratio,median_width_sec,median_nearest_gt_center_distance_sec,median_best_gt_iou,median_audio_duration_sec
r1,5-10s,decoder_layer2,initial_center_le2s,229,0.5462958511225855,0.7282867431640625,4.4479217529296875,9.278884887695312,0.0,160.0
r1,5-10s,final_span,all,2730,0.5789232644960005,1.5244166056315103,10.284576416015625,26.5391845703125,0.0,240.0
r1,5-10s,final_span,initial_center_le1s,128,0.4429793326482774,1.1686515808105469,7.786174774169922,4.896978378295898,0.09685388942168945,153.0
r1,5-10s,final_span,initial_center_le2s,229,0.4383679942757175,1.1725234985351562,7.53472900390625,4.3307647705078125,0.11485536616791389,160.0
r1,10-20s,initial,all,2510,2.001567251425951,7.400647075552689,94.2391357421875,24.985599517822266,0.06022189793139755,268.0
r1,10-20s,initial,initial_center_le1s,115,1.6754335395068047,5.3411102294921875,67.06623840332031,0.45343017578125,0.14313872840029104,143.0
r1,10-20s,initial,initial_center_le2s,228,1.6331313800478533,5.120255061558314,64.5149917602539,0.9918556213378906,0.13799138738855604,143.0
r1,10-20s,decoder_layer1,all,2510,0.4200529091352935,1.1628316243489583,15.582189559936523,23.843460083007812,0.0,268.0
r1,10-20s,decoder_layer1,initial_center_le1s,115,0.4171503949707584,0.9353199005126953,12.230621337890625,4.7957000732421875,0.199331465817464,143.0
r1,10-20s,decoder_layer1,initial_center_le2s,228,0.4462441677727704,0.8905571818351745,11.702533721923828,4.610553741455078,0.23591864062374124,143.0
r1,10-20s,decoder_layer2,all,2510,0.8494758838053638,0.45621666541466344,6.114280700683594,21.9342041015625,0.0,268.0
r1,10-20s,decoder_layer2,initial_center_le1s,115,0.7600018686775846,0.4745432535807292,6.320701599121094,5.4067535400390625,0.008317885831075622,143.0
r1,10-20s,decoder_layer2,initial_center_le2s,228,0.8391757735471868,0.44841611635434875,5.5694580078125,5.106697082519531,0.07597297643646217,143.0
r1,10-20s,final_span,all,2510,0.41706005535710067,0.8308625357491629,11.344792366027832,17.806299209594727,0.0,268.0
r1,10-20s,final_span,initial_center_le1s,115,0.49036940157553865,0.7366973876953125,9.805154800415039,3.067058563232422,0.2659021089809375,143.0
r1,10-20s,final_span,initial_center_le2s,228,0.5637176683030307,0.7230993694729275,9.509111404418945,3.1559371948242188,0.2623222551018868,143.0
r1,20s+,initial,all,3570,0.941948518023727,2.0919427115305202,115.35367965698242,23.201034545898438,0.18981817682197855,299.0
