row_type,gt_duration_bin_broad,matching_cell,short_qid,long_qid,short_vid,long_vid,short_audio_duration_sec,long_audio_duration_sec,short_gt_duration_sec,long_gt_duration_sec,short_gt_count,long_gt_count,short_query_word_count,long_query_word_count,short_r1_iou05,long_r1_iou05,long_minus_short_r1_iou05,short_r1_iou07,long_r1_iou07,long_minus_short_r1_iou07,short_oracle10_iou07,long_oracle10_iou07,long_minus_short_oracle10_iou07,short_qd_top1_center_hit_le_2s,long_qd_top1_center_hit_le_2s,long_minus_short_qd_top1_center_hit_le_2s,short_final_width_gt_ratio,long_final_width_gt_ratio,long_minus_short_final_width_gt_ratio,short_center_error_sec,long_center_error_sec,long_minus_short_center_error_sec,short_normalized_gt_width,long_normalized_gt_width,long_minus_short_normalized_gt_width
matched_pair,2-5s,2-3s|1|6-10w,QKHpSAAjakY_3,BzHTqyX69pI_2,QKHpSAAjakY,BzHTqyX69pI,94.0,230.0,2.0,2.0,1,1,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,7.0,121.0,114.0,0.02127659574468085,0.008695652173913044,-0.012580943570767807
matched_pair,2-5s,2-3s|1|6-10w,V4PLSw_WzVw_2,JC2ZrXzCX4Y_2,V4PLSw_WzVw,JC2ZrXzCX4Y,82.0,209.0,2.0,2.0,1,1,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.5,4.5,64.0,61.5,-2.5,0.024390243902439025,0.009569377990430622,-0.014820865912008404
matched_pair,2-5s,2-3s|1|6-10w,V8A0VRGdgwM_2,VjSEIRnLAh8_4,V8A0VRGdgwM,VjSEIRnLAh8,77.0,300.0,2.0,2.0,1,1,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,10.0,33.0,251.0,218.0,0.025974025974025976,0.006666666666666667,-0.019307359307359308
matched_pair,2-5s,2-3s|1|6-10w,VE6Ku0-ucUM_3,Z1Cyj4N05lk_3,VE6Ku0-ucUM,Z1Cyj4N05lk,66.0,299.0,2.0,2.0,1,1,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,14.0,69.0,55.0,0.030303030303030304,0.006688963210702341,-0.023614067092327964
matched_pair,2-5s,2-3s|1|6-10w,_ezm-TpKj1w_1,uY4fe5DT1gI_1,_ezm-TpKj1w,uY4fe5DT1gI,130.0,299.0,2.0,2.0,1,1,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.5,2.5,125.0,2.5,-122.5,0.015384615384615385,0.006688963210702341,-0.008695652173913045
matched_pair,2-5s,2-3s|1|6-10w,_oKXrY5Ff0g_3,7JWHbs3gu1w_2,_oKXrY5Ff0g,7JWHbs3gu1w,82.0,296.0,2.0,2.0,1,1,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.5,1.5,65.0,82.5,17.5,0.024390243902439025,0.006756756756756757,-0.017633487145682268
matched_pair,2-5s,2-3s|1|6-10w,cPiSd5nJLrI_1,Axd__X2rixk_1,cPiSd5nJLrI,Axd__X2rixk,60.0,267.0,2.0,2.0,1,1,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,-3.0,23.0,126.0,103.0,0.03333333333333333,0.00749063670411985,-0.025842696629213482
matched_pair,2-5s,2-3s|1|6-10w,gkWd1HugK2w_1,hmd6pa2e_rs_2,gkWd1HugK2w,hmd6pa2e_rs,151.0,242.0,2.0,2.0,1,1,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.0,-0.5,13.5,125.0,111.5,0.013245033112582781,0.008264462809917356,-0.004980570302665426
matched_pair,2-5s,2-3s|1|6-10w,h3UhoHIMfpw_1,MVGhC-xB79s_2,h3UhoHIMfpw,MVGhC-xB79s,130.0,268.0,2.0,2.0,1,1,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,2.5,4.5,2.0,1.5,111.5,110.0,0.015384615384615385,0.007462686567164179,-0.007921928817451206
matched_pair,2-5s,2-3s|1|6-10w,hzn_wGlzGpU_1,QRtuOWWya30_1,hzn_wGlzGpU,QRtuOWWya30,126.0,299.0,2.0,2.0,1,1,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,3.0,8.0,5.0,1.0,3.0,2.0,0.015873015873015872,0.006688963210702341,-0.009184052662313532
